"country","year","gdp","future_focus","future_horizon","past_focus","past_horizon"
"Ukraine",2010,2973.981709,0.435190295571667,0.0553437589573465,0.332385325630771,0.352618135961295
"Ukraine",2011,3615.381973,0.482380792565915,0.310679453501401,0.425969074373566,0.378091867057078
"Egypt",2008,2078.796297,0.348564820271472,0.25454639123692,0.112688176166399,0.586244767651381
"Egypt",2009,2370.71111,0.263262348925479,0.193915218781649,0.132619585314684,0.331958899904883
"Egypt",2010,2698.365074,0.378544171634589,0.419808797264728,0.242219195793056,0
"Egypt",2011,2780.949246,0.435182633237259,0.386720524775031,0.185267747350553,0
"Morocco",2008,2793.447652,0.0901228901972761,0.180007658867853,0.0438541521378777,0.689736843247369
"Morocco",2009,2827.818554,0.0787420297807477,0.233484178242487,0.258168638381211,0.596811765416611
"Morocco",2010,2795.490228,0.107040509095079,0.179274642953148,1,0.373869423661787
"Morocco",2011,3053.530672,0.233794874832816,0.34554190688141,0.514166223375928,0.154788852764461
"Poland",2008,13885.64175,0.180046169072614,0.0871822958429749,0.414998698798164,0.117598069636467
"Poland",2009,11293.84622,0.267492359192673,0.22182328241401,0.350929723687518,0.0449061032155006
"Poland",2010,12303.20792,0.319921472300795,0.134921899258002,0.498734163764842,0.437469684637668
"Poland",2011,13462.85474,0.437054685217732,0.519336491618409,0.324356938650811,0.270134120353037
